Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,20030,20029,2388.013937,40466.814462,0.119222,2.020411
2,662,497,49.817971,57.933797,0.075254,0.116567
3,666,495,51.672641,59.259531,0.077587,0.119716
4,670,500,34.555677,44.732511,0.051576,0.089465
5,675,505,30.265862,37.588535,0.044838,0.074433
6,668,494,25.942121,35.709416,0.038836,0.072286
7,656,497,24.220732,34.406005,0.036922,0.069227
8,663,502,23.554302,37.646644,0.035527,0.074993
9,666,505,21.412422,30.271375,0.032151,0.059943
10,668,500,21.463065,28.799838,0.032130,0.057600
11,665,494,20.160462,26.118862,0.030316,0.052872
12,665,497,20.215018,27.461290,0.030399,0.055254
13,667,496,20.252742,26.788373,0.030364,0.054009
14,666,500,20.238081,28.213284,0.030388,0.056427
15,675,500,25.114252,32.228882,0.037206,0.064458
16,645,493,24.846703,32.618123,0.038522,0.066163
17,658,492,346.768680,33.295383,0.527004,0.067674
18,673,504,25.453849,33.950776,0.037821,0.067363
19,647,496,24.194348,31.816682,0.037395,0.064147
20,677,505,25.478991,32.456543,0.037635,0.064270
21,659,494,24.730670,31.920697,0.037528,0.064617
22,676,503,298.212987,32.437409,0.441143,0.064488
23,675,505,23.531114,25.786640,0.034861,0.051063
24,665,498,19.953959,24.569720,0.030006,0.049337
25,670,506,20.137138,25.601918,0.030055,0.050597
26,662,505,19.809455,24.337296,0.029924,0.048193
27,661,495,19.832771,23.599489,0.030004,0.047676
28,660,490,19.778727,25.014080,0.029968,0.051049
29,679,503,20.424268,23.784981,0.030080,0.047286
30,679,501,20.557732,25.284499,0.030276,0.050468
31,667,505,20.552667,25.766878,0.030814,0.051024
32,660,497,19.778193,24.364382,0.029967,0.049023
33,673,498,20.239505,25.974469,0.030074,0.052158
34,665,498,20.108762,24.288846,0.030239,0.048773
35,671,506,20.281603,25.469545,0.030226,0.050335
36,664,498,19.937521,24.118184,0.030026,0.048430
37,664,495,20.026704,23.816822,0.030161,0.048115
38,673,505,20.210689,23.704169,0.030031,0.046939
39,667,498,20.046406,25.358134,0.030055,0.050920
40,667,502,20.063449,25.697411,0.030080,0.051190
41,657,493,19.812280,24.235690,0.030156,0.049160
42,666,504,20.153253,25.617772,0.030260,0.050829
43,664,491,22.840413,23.988533,0.034398,0.048856
44,670,502,20.238382,25.548448,0.030207,0.050893
45,665,504,19.970380,24.868462,0.030031,0.049342
46,652,496,19.769450,25.392563,0.030321,0.051195
47,679,503,20.195366,24.928896,0.029743,0.049560
48,653,493,19.447572,24.333560,0.029782,0.049358
49,673,499,20.035336,24.768907,0.029770,0.049637
50,687,516,20.487955,26.665112,0.029822,0.051677
51,745,559,22.258591,27.415817,0.029877,0.049044
52,734,549,21.917569,26.502042,0.029860,0.048273
53,747,552,22.324399,27.168212,0.029885,0.049218
54,741,549,22.207474,26.135105,0.029970,0.047605
55,721,539,21.764519,27.198998,0.030187,0.050462
56,743,557,22.193842,28.793822,0.029871,0.051694
57,737,549,22.044736,27.134997,0.029911,0.049426
58,742,553,24.489353,38.784464,0.033005,0.070135
59,736,552,33.545444,39.586950,0.045578,0.071715
60,729,545,29.523731,35.847789,0.040499,0.065776
61,737,555,24.682146,29.545403,0.033490,0.053235
62,726,549,23.089151,28.772227,0.031803,0.052408
63,728,552,23.022995,28.958593,0.031625,0.052461
64,735,556,23.288515,30.092888,0.031685,0.054124
65,719,543,22.762338,28.805851,0.031658,0.053049
66,737,548,23.322899,27.880145,0.031646,0.050876
67,717,544,22.722128,27.243921,0.031691,0.050081
68,726,549,23.747979,27.324868,0.032711,0.049772
69,731,552,23.263212,27.913284,0.031824,0.050568
70,745,550,23.602822,27.386419,0.031682,0.049793
71,742,546,23.592951,27.080147,0.031796,0.049597
72,717,549,22.821411,27.834942,0.031829,0.050701
73,745,555,22.420407,28.117605,0.030095,0.050662
74,724,546,21.897427,26.117511,0.030245,0.047834
75,735,549,22.115723,26.561260,0.030089,0.048381
76,730,548,21.967015,26.771319,0.030092,0.048853
77,734,554,22.056590,27.898183,0.030050,0.050358
78,732,551,22.347277,27.882866,0.030529,0.050604
79,726,546,21.951736,26.816443,0.030237,0.049114
80,736,551,22.406216,27.093499,0.030443,0.049172
81,746,561,22.418105,27.108917,0.030051,0.048322
82,725,538,21.759803,27.018265,0.030014,0.050220
83,733,551,22.001086,27.180264,0.030015,0.049329
84,730,550,22.133035,27.861575,0.030319,0.050657
85,744,554,22.334914,27.168619,0.030020,0.049041
86,739,550,22.303454,27.256686,0.030181,0.049558
87,735,548,22.220577,27.493067,0.030232,0.050170
88,740,555,22.250892,27.849281,0.030069,0.050179
89,729,550,22.022605,27.447358,0.030209,0.049904
90,725,545,21.882517,26.625843,0.030183,0.048855
91,731,551,22.007485,27.026753,0.030106,0.049050
92,749,559,22.507395,26.491894,0.030050,0.047392
93,720,542,21.589072,25.784317,0.029985,0.047573
94,718,541,22.071475,26.297426,0.030740,0.048609
95,731,547,21.941247,26.832134,0.030015,0.049053
96,740,545,22.211267,27.334352,0.030015,0.050155
97,748,551,22.543721,26.780156,0.030139,0.048603
98,750,555,22.621630,26.417403,0.030162,0.047599
99,732,547,22.616417,27.342301,0.030897,0.049986
100,743,553,22.529810,26.971352,0.030323,0.048773
101,799,604,24.205857,28.607616,0.030295,0.047364
102,792,597,24.009511,28.752819,0.030315,0.048162
103,802,602,24.271805,28.990582,0.030264,0.048157
104,805,601,24.708309,30.228522,0.030694,0.050297
105,797,597,24.098658,27.495354,0.030237,0.046056
106,790,599,24.001386,28.468833,0.030382,0.047527
107,812,608,24.712303,29.921642,0.030434,0.049213
108,796,598,24.126075,28.469885,0.030309,0.047609
109,803,597,24.292511,27.803576,0.030252,0.046572
110,795,597,24.159997,28.421782,0.030390,0.047608
111,796,599,24.175017,29.659233,0.030371,0.049515
112,791,597,23.969777,27.913508,0.030303,0.046756
113,797,603,24.080493,31.721977,0.030214,0.052607
114,801,596,24.117124,27.867629,0.030109,0.046758
115,784,592,23.768595,28.439813,0.030317,0.048040
116,803,597,24.421296,28.827658,0.030413,0.048288
117,820,608,24.715123,28.918366,0.030140,0.047563
118,801,604,24.421769,29.128371,0.030489,0.048226
119,810,596,24.533974,27.903298,0.030289,0.046818
120,795,601,24.058261,28.650832,0.030262,0.047672
121,794,591,24.143770,27.973878,0.030408,0.047333
122,785,597,23.663503,27.783318,0.030145,0.046538
123,772,594,23.413496,28.818598,0.030328,0.048516
124,809,604,24.415519,29.827989,0.030180,0.049384
125,807,600,24.291089,28.944156,0.030100,0.048240
126,793,599,24.023802,29.803216,0.030295,0.049755
127,788,591,23.825937,28.203456,0.030236,0.047722
128,792,599,23.965436,28.937560,0.030259,0.048310
129,813,605,24.775116,29.723701,0.030474,0.049130
130,802,603,24.187193,28.548495,0.030159,0.047344
131,817,607,24.802655,28.398702,0.030358,0.046785
132,802,607,24.756037,29.082760,0.030868,0.047912
133,812,605,24.610348,29.326133,0.030308,0.048473
134,788,599,24.146572,28.742553,0.030643,0.047984
135,791,598,23.889454,28.080663,0.030202,0.046958
136,794,597,24.190715,28.757815,0.030467,0.048171
137,809,606,24.439861,28.197229,0.030210,0.046530
138,801,598,24.439689,33.366649,0.030511,0.055797
139,807,597,24.362242,29.201096,0.030189,0.048913
140,782,594,23.615558,28.485188,0.030199,0.047955
141,790,592,23.924016,28.115484,0.030284,0.047492
142,806,598,24.484980,29.237801,0.030378,0.048893
143,819,604,24.680348,28.501929,0.030135,0.047189
144,794,600,24.078097,28.939894,0.030325,0.048233
145,787,589,23.851356,29.115821,0.030307,0.049433
146,809,605,24.660174,29.534155,0.030482,0.048817
147,782,590,23.815259,30.989557,0.030454,0.052525
148,792,599,23.941881,29.690837,0.030230,0.049567
149,790,596,24.080327,29.015737,0.030481,0.048684
150,807,598,24.488924,28.625721,0.030346,0.047869
151,864,649,26.087076,30.155445,0.030193,0.046464
152,866,652,26.149088,30.809492,0.030195,0.047254
153,864,650,26.298252,31.558776,0.030438,0.048552
154,865,646,26.182284,31.871715,0.030269,0.049337
155,867,647,26.273954,31.116279,0.030304,0.048093
156,859,641,25.958160,31.555504,0.030219,0.049229
157,876,650,26.551944,29.801256,0.030310,0.045848
158,877,648,26.569008,30.701167,0.030295,0.047378
159,884,653,26.935377,31.591429,0.030470,0.048379
160,866,653,26.145671,30.659526,0.030191,0.046952
161,867,646,26.103976,30.252200,0.030108,0.046830
162,862,649,26.379978,31.935166,0.030603,0.049207
163,851,643,25.725385,31.441705,0.030230,0.048898
164,866,649,26.297365,32.354740,0.030366,0.049853
165,874,650,27.298188,31.059583,0.031234,0.047784
166,861,648,26.080681,30.873525,0.030291,0.047644
167,847,643,25.567559,30.718555,0.030186,0.047774
168,860,651,26.078510,31.292831,0.030324,0.048069
169,874,653,26.362913,30.739840,0.030164,0.047075
170,856,645,25.895154,30.502522,0.030251,0.047291
171,887,650,26.833400,30.448750,0.030252,0.046844
172,863,648,26.447502,32.444899,0.030646,0.050069
173,873,648,26.791665,30.752622,0.030689,0.047458
174,885,656,26.982361,30.804941,0.030489,0.046959
175,884,654,26.715443,31.051902,0.030221,0.047480
176,853,648,25.706898,31.369772,0.030137,0.048410
177,869,648,26.325504,31.586054,0.030294,0.048744
178,878,658,26.485849,31.836406,0.030166,0.048384
179,878,655,26.680437,31.205579,0.030388,0.047642
180,862,647,26.076355,30.887244,0.030251,0.047739
181,861,649,26.376648,31.711938,0.030635,0.048863
182,874,649,26.399093,31.372251,0.030205,0.048339
183,875,652,26.519786,31.657471,0.030308,0.048554
184,866,649,26.047312,32.450417,0.030078,0.050001
185,875,650,26.363348,30.895531,0.030130,0.047532
186,872,651,26.363979,30.346803,0.030234,0.046616
187,857,643,26.066934,31.684587,0.030416,0.049276
188,861,649,26.139821,30.101830,0.030360,0.046382
189,872,652,26.413933,31.149533,0.030291,0.047775
190,880,653,29.717394,31.217327,0.033770,0.047806
191,866,643,26.313983,31.786217,0.030386,0.049434
192,890,652,27.027990,31.455269,0.030369,0.048244
193,878,658,26.746983,31.220506,0.030464,0.047448
194,856,650,26.070975,31.289732,0.030457,0.048138
195,867,657,26.321802,31.976240,0.030360,0.048670
196,866,647,26.346090,31.886011,0.030423,0.049283
197,871,656,31.138928,44.062736,0.035751,0.067169
198,884,659,29.887459,34.272822,0.033809,0.052007
199,851,646,26.112041,30.485896,0.030684,0.047192
200,870,653,27.081525,32.550506,0.031128,0.049848
201,929,694,28.006477,33.118434,0.030147,0.047721
202,930,699,28.251398,32.584185,0.030378,0.046615
203,945,705,31.572563,34.035177,0.033410,0.048277
204,945,706,28.525703,33.222586,0.030186,0.047057
205,929,701,28.005557,33.766777,0.030146,0.048169
206,953,704,29.051478,33.036918,0.030484,0.046927
207,919,693,27.937005,33.010982,0.030399,0.047635
208,946,707,29.354969,34.836661,0.031031,0.049274
209,935,698,28.950184,33.393658,0.030963,0.047842
210,907,684,27.358384,33.516437,0.030164,0.049001
211,934,698,30.473661,43.338624,0.032627,0.062090
212,929,700,28.810658,35.587624,0.031013,0.050839
213,931,700,28.227659,36.719489,0.030320,0.052456
214,920,688,27.834151,35.192664,0.030255,0.051152
215,928,695,28.117478,34.578993,0.030299,0.049754
216,922,692,27.811463,34.780450,0.030164,0.050261
217,930,695,27.884603,34.484256,0.029983,0.049618
218,937,700,28.183488,34.372605,0.030078,0.049104
219,937,702,28.191065,32.779524,0.030087,0.046694
220,939,701,28.295786,33.643245,0.030134,0.047993
221,949,705,28.692486,33.456101,0.030234,0.047455
222,922,698,27.789615,33.442459,0.030141,0.047912
223,929,699,28.040509,33.210879,0.030184,0.047512
224,944,697,28.496950,33.093003,0.030187,0.047479
225,934,705,28.052859,33.549716,0.030035,0.047588
226,925,698,27.947226,34.279446,0.030213,0.049111
227,937,700,29.221312,33.753335,0.031186,0.048219
228,948,707,28.888834,34.619925,0.030473,0.048967
229,925,696,27.746387,33.492569,0.029996,0.048122
230,944,701,28.560904,33.886330,0.030255,0.048340
231,936,696,28.283630,33.417837,0.030218,0.048014
232,929,700,28.188931,32.598858,0.030343,0.046570
233,944,704,28.377690,32.059011,0.030061,0.045538
234,922,694,27.874890,32.467387,0.030233,0.046783
235,944,699,28.446473,33.541211,0.030134,0.047985
236,931,700,28.139939,32.917311,0.030225,0.047025
237,943,704,29.596874,34.289731,0.031386,0.048707
238,913,692,27.580894,33.363308,0.030209,0.048213
239,951,704,28.898539,33.797200,0.030388,0.048007
240,921,698,27.584070,33.117335,0.029950,0.047446
241,937,701,28.151862,34.299244,0.030045,0.048929
242,939,704,28.409865,33.860878,0.030255,0.048098
243,921,695,28.592418,32.679288,0.031045,0.047021
244,939,704,28.387642,34.624570,0.030232,0.049183
