Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,8375,8374,998.089543,4228.289730,0.119175,0.504931
2,3815,3814,188.367853,1235.346731,0.049376,0.323898
3,8623,8622,364.087156,3474.559982,0.042223,0.402988
4,262,261,190.658327,19.440979,0.727704,0.074487
5,2,1,0.270018,0.110130,0.135009,0.110130
6,9210,9209,358.565057,4068.033514,0.038932,0.441745
7,1333,1332,39.327516,130.012846,0.029503,0.097607
8,1994,1993,58.099481,247.137145,0.029137,0.124003
9,8137,8136,240.048444,3451.403757,0.029501,0.424214
10,8043,8042,237.575606,3433.825930,0.029538,0.426987
11,2,1,0.186917,0.069995,0.093459,0.069995
12,10818,10817,327.475913,6195.853401,0.030271,0.572789
13,3699,3698,107.342642,758.378614,0.029019,0.205078
14,4919,4918,142.657554,1217.298960,0.029001,0.247519
15,7161,7160,210.014993,2340.063964,0.029328,0.326825
16,8226,8225,242.231773,3280.589801,0.029447,0.398856
17,5741,5740,376.908083,1653.516320,0.065652,0.288069
18,7591,7590,221.481433,2892.923328,0.029177,0.381149
19,4502,4501,129.708170,1092.196660,0.028811,0.242656
20,14996,14995,440.072935,11147.359320,0.029346,0.743405
21,9756,9755,285.372257,4527.619927,0.029251,0.464133
22,11869,11868,362.028162,7824.371387,0.030502,0.659283
23,998,997,28.193484,85.884150,0.028250,0.086143
24,13661,13660,411.498602,9238.516097,0.030122,0.676319
25,6652,6651,200.137983,2381.354021,0.030087,0.358045
26,3637,3636,108.291538,725.439371,0.029775,0.199516
27,1344,1343,38.265845,134.293444,0.028472,0.099995
28,2514,2513,72.167757,379.020440,0.028706,0.150824
29,10818,10817,315.997301,5658.453603,0.029210,0.523107
30,13974,13973,413.360623,10189.580466,0.029581,0.729234
31,10648,10647,316.192926,5524.137243,0.029695,0.518844
32,7472,7471,222.924962,3045.057696,0.029835,0.407584
33,6192,6191,186.858854,2136.004457,0.030177,0.345018
34,12808,12807,388.452655,8360.517048,0.030329,0.652808
35,1448,1447,43.345167,156.144169,0.029935,0.107909
36,4871,4870,239.348678,1227.740175,0.049137,0.252103
37,5262,5261,158.193541,1532.631939,0.030063,0.291320
38,17811,17810,538.366968,15912.328995,0.030227,0.893449
39,6420,6419,185.414923,2173.474668,0.028881,0.338600
40,2,1,0.153738,0.063950,0.076869,0.063950
41,8150,8149,240.948525,3386.176161,0.029564,0.415533
42,2,1,0.173954,0.066041,0.086977,0.066041
43,10712,10711,415.786968,5583.897780,0.038815,0.521324
44,5182,5181,151.745832,1492.859685,0.029283,0.288141
45,1665,1664,52.304654,206.522261,0.031414,0.124112
46,1286,1285,38.035155,132.479023,0.029576,0.103097
47,2,1,0.162121,0.119059,0.081061,0.119059
48,2886,2885,83.295095,505.900045,0.028862,0.175355
49,6699,6698,200.222829,2339.569815,0.029888,0.349294
50,5525,5524,161.469108,1611.683958,0.029225,0.291760
