Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,8375,8374,618.942694,2714.319047,0.073904,0.324136
2,3815,3814,130.389202,701.100603,0.034178,0.183823
3,8623,8622,230.794213,2459.914828,0.026765,0.285307
4,262,261,6.493727,11.754046,0.024785,0.045035
5,2,1,0.233233,0.079031,0.116617,0.079031
6,9210,9209,204.792615,2777.320140,0.022236,0.301588
7,1333,1332,26.921614,97.963119,0.020196,0.073546
8,1994,1993,40.886144,180.850817,0.020505,0.090743
9,8137,8136,165.502257,2235.647583,0.020339,0.274785
10,8043,8042,195.295806,2227.605948,0.024281,0.276997
11,2,1,0.127426,0.052875,0.063713,0.052875
12,10818,10817,230.247431,4013.071436,0.021284,0.370997
13,3699,3698,120.122348,545.802292,0.032474,0.147594
14,4919,4918,104.714960,891.047243,0.021288,0.181181
15,7161,7160,146.937531,1813.081370,0.020519,0.253224
16,8226,8225,166.859864,2288.789693,0.020284,0.278272
17,5741,5740,116.420544,1185.821350,0.020279,0.206589
18,7591,7590,150.436448,1983.149103,0.019818,0.261284
19,4502,4501,92.304745,753.060258,0.020503,0.167310
20,14996,14995,313.555399,7843.989540,0.020909,0.523107
21,9756,9755,203.631597,3346.358278,0.020872,0.343040
22,11869,11868,250.242223,4866.949925,0.021084,0.410090
23,998,997,19.861731,66.062556,0.019902,0.066261
24,13661,13660,288.888117,6748.426431,0.021147,0.494028
25,6652,6651,142.286224,1544.743175,0.021390,0.232257
26,3637,3636,77.560459,535.452739,0.021325,0.147264
27,1344,1343,26.798515,102.253815,0.019939,0.076138
28,2514,2513,53.233262,273.022296,0.021175,0.108644
29,10818,10817,225.110486,3923.649262,0.020809,0.362730
30,13974,13973,286.286632,7140.094679,0.020487,0.510992
31,10648,10647,215.167139,3992.357201,0.020207,0.374975
32,7472,7471,152.974502,1909.646399,0.020473,0.255608
33,6192,6191,128.122773,1498.497475,0.020692,0.242044
34,12808,12807,275.791872,5683.386945,0.021533,0.443772
35,1448,1447,28.941364,132.980253,0.019987,0.091901
36,4871,4870,109.295472,872.075265,0.022438,0.179071
37,5262,5261,116.812362,1078.210405,0.022199,0.204944
38,17811,17810,366.716430,11744.400271,0.020589,0.659427
39,6420,6419,135.161625,1493.145093,0.021053,0.232613
40,2,1,0.130848,0.043347,0.065424,0.043347
41,8150,8149,167.264383,2412.961894,0.020523,0.296105
42,2,1,0.193019,0.064868,0.096510,0.064868
43,10712,10711,241.742060,4186.750657,0.022567,0.390883
44,5182,5181,124.414825,1039.364466,0.024009,0.200611
45,1665,1664,37.527846,145.947592,0.022539,0.087709
46,1286,1285,24.940139,96.724598,0.019394,0.075272
47,2,1,0.133669,0.098275,0.066835,0.098275
48,2886,2885,58.691671,343.906598,0.020337,0.119205
49,6699,6698,143.967421,1574.046059,0.021491,0.235002
50,5525,5524,113.865950,1135.938003,0.020609,0.205637
