Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,16424,8374,1585.677404,1070.968949,0.096546,0.127892
2,7547,3814,519.677532,367.883883,0.068859,0.096456
3,2,1,0.482418,0.250171,0.241209,0.250171
4,7476,3779,539.104741,365.106938,0.072111,0.096615
5,6511,3282,287.685667,241.883621,0.044185,0.073700
6,16180,8256,782.359864,690.175323,0.048354,0.083597
7,24942,12878,1653.008287,651.347724,0.066274,0.050578
8,20088,10313,1197.469526,697.321427,0.059611,0.067616
9,15984,8166,969.163116,727.034921,0.060633,0.089032
10,9175,4642,588.822344,218.765449,0.064177,0.047127
11,1456,730,90.688395,38.186001,0.062286,0.052310
12,18140,9300,1140.302248,444.236879,0.062861,0.047767
13,38606,20290,2590.624544,2029.792483,0.067104,0.100039
14,7695,3889,529.484810,190.026129,0.068809,0.048862
15,21071,10831,1790.727100,1266.080522,0.084985,0.116894
16,10002,5072,728.471512,456.925781,0.072833,0.090088
17,10053,5082,734.078914,250.876579,0.073021,0.049366
18,14007,7133,1177.519681,345.037461,0.084067,0.048372
19,8970,4541,670.769711,363.568401,0.074779,0.080064
20,2,1,1.175414,0.092310,0.587707,0.092310
21,2,1,0.312329,0.082854,0.156165,0.082854
22,6960,3509,514.262092,171.562933,0.073888,0.048892
23,21363,10989,1712.243850,559.771800,0.080150,0.050939
24,13482,6859,994.097852,356.827968,0.073735,0.052023
25,2,1,0.363497,0.094042,0.181749,0.094042
26,10803,5476,872.792018,277.197614,0.080792,0.050620
27,3745,1876,272.578405,96.125687,0.072785,0.051240
28,13854,7056,1113.019591,358.139474,0.080339,0.050757
29,20102,10317,1646.704091,525.652309,0.081917,0.050950
30,13565,6899,1204.232718,353.294971,0.088775,0.051210
31,9985,5050,724.960478,263.632547,0.072605,0.052204
32,2239,1122,157.861092,58.683893,0.070505,0.052303
33,2,1,3.019975,0.161121,1.509988,0.161121
34,9828,4973,710.893774,269.280336,0.072334,0.054148
35,13886,7073,1137.583870,370.816263,0.081923,0.052427
36,7846,3957,569.878560,208.510600,0.072633,0.052694
37,13421,6841,960.911568,362.463717,0.071598,0.052984
38,13383,6803,948.837824,362.819531,0.070899,0.053332
39,2,1,1.799254,0.152534,0.899627,0.152534
40,10441,5288,732.256977,382.483582,0.070133,0.072330
41,15511,7918,1093.646695,427.746765,0.070508,0.054022
42,7507,3791,514.228810,200.770046,0.068500,0.052960
43,12724,6457,874.060469,349.738957,0.068694,0.054164
44,2,1,1.528555,0.149068,0.764278,0.149068
45,2779,1394,188.703277,75.354965,0.067903,0.054057
46,17242,8824,1199.686060,483.787375,0.069579,0.054826
47,10807,5482,732.269880,298.297694,0.067759,0.054414
48,6876,3469,457.033405,186.173823,0.066468,0.053668
49,13159,6698,877.587611,371.324743,0.066691,0.055438
50,21346,10954,1409.465529,602.662522,0.066029,0.055018
