Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,16424,8374,893.479211,481.741827,0.054401,0.057528
2,7547,3814,265.083502,219.421712,0.035124,0.057531
3,2,1,0.784804,0.141366,0.392402,0.141366
4,7476,3779,194.920523,152.848729,0.026073,0.040447
5,6511,3282,176.078766,117.622362,0.027043,0.035839
6,16180,8256,385.601383,258.250321,0.023832,0.031280
7,24942,12878,557.893452,403.696397,0.022368,0.031348
8,20088,10313,581.732813,328.767108,0.028959,0.031879
9,15984,8166,346.651108,264.738117,0.021687,0.032420
10,9175,4642,193.476695,148.481780,0.021087,0.031987
11,1456,730,65.385198,21.942147,0.044907,0.030058
12,18140,9300,388.646862,302.742161,0.021425,0.032553
13,38606,20290,857.048281,696.854960,0.022200,0.034345
14,7695,3889,164.244308,124.667370,0.021344,0.032056
15,21071,10831,464.154343,367.197671,0.022028,0.033902
16,10002,5072,206.657638,174.226878,0.020662,0.034351
17,10053,5082,570.570971,166.324998,0.056756,0.032728
18,14007,7133,325.204645,253.372560,0.023217,0.035521
19,8970,4541,208.848647,169.820518,0.023283,0.037397
20,2,1,0.156021,0.045273,0.078011,0.045273
21,2,1,0.089951,0.034167,0.044976,0.034167
22,6960,3509,155.745014,119.863818,0.022377,0.034159
23,21363,10989,476.964888,386.379221,0.022327,0.035161
24,13482,6859,295.847743,235.140462,0.021944,0.034282
25,2,1,0.138414,0.071770,0.069207,0.071770
26,10803,5476,247.507403,224.953831,0.022911,0.041080
27,3745,1876,80.232580,67.834983,0.021424,0.036159
28,13854,7056,306.222379,248.083715,0.022104,0.035159
29,20102,10317,486.233274,362.002361,0.024188,0.035088
30,13565,6899,301.521430,242.421844,0.022228,0.035139
31,9985,5050,217.650276,182.918531,0.021798,0.036221
32,2239,1122,48.707144,38.837286,0.021754,0.034614
33,2,1,0.124734,0.045891,0.062367,0.045891
34,9828,4973,225.059548,172.565773,0.022900,0.034701
35,13886,7073,310.877024,249.393978,0.022388,0.035260
36,7846,3957,189.141184,139.085037,0.024107,0.035149
37,13421,6841,360.240375,232.922917,0.026842,0.034048
38,13383,6803,299.317500,235.696481,0.022366,0.034646
39,2,1,0.162695,0.097395,0.081348,0.097395
40,10441,5288,239.087698,239.157760,0.022899,0.045227
41,15511,7918,350.353633,278.182735,0.022587,0.035133
42,7507,3791,175.714674,142.841067,0.023407,0.037679
43,12724,6457,284.776552,231.583158,0.022381,0.035865
44,2,1,0.137796,0.087754,0.068898,0.087754
45,2779,1394,60.924783,48.321638,0.021923,0.034664
46,17242,8824,395.484226,319.212922,0.022937,0.036176
47,10807,5482,241.225456,200.168704,0.022321,0.036514
48,6876,3469,153.950692,126.084735,0.022390,0.036346
49,13159,6698,305.819609,237.776063,0.023240,0.035500
50,21346,10954,497.067214,409.753363,0.023286,0.037407
