Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,1118,559,613.650072,299.578558,0.548882,0.535919
2,889,445,197.137009,124.044613,0.221751,0.278752
3,1011,506,147.759468,109.063119,0.146152,0.215540
4,1139,571,295.921456,116.215849,0.259808,0.203530
5,1008,505,88.669331,67.845991,0.087966,0.134348
6,1277,639,76.341927,66.426248,0.059782,0.103953
7,1136,569,88.661794,51.716611,0.078047,0.090890
8,1338,669,80.889202,64.655290,0.060455,0.096645
9,1043,522,43.446863,38.364958,0.041656,0.073496
10,1236,619,48.651813,47.636904,0.039362,0.076958
11,968,486,39.168424,35.931871,0.040463,0.073934
12,1208,604,46.364945,352.709951,0.038382,0.583957
13,863,432,27.062708,27.110430,0.031359,0.062756
14,906,453,28.327437,28.875722,0.031266,0.063743
15,988,495,31.378141,32.013108,0.031759,0.064673
16,885,444,29.160881,27.639016,0.032950,0.062250
17,898,450,28.947141,27.529959,0.032235,0.061178
18,1037,520,32.726084,32.008058,0.031558,0.061554
19,1242,621,39.895757,69.587404,0.032122,0.112057
20,574,287,18.875526,16.087929,0.032884,0.056056
21,1078,539,35.499165,29.299181,0.032931,0.054358
22,1505,753,49.175788,42.293851,0.032675,0.056167
23,1021,511,33.504514,27.930290,0.032815,0.054658
24,945,473,30.855991,25.912402,0.032652,0.054783
25,1065,534,34.825186,29.129924,0.032700,0.054550
26,1176,589,49.735028,37.249066,0.042292,0.063241
27,1048,525,40.988868,235.471672,0.039112,0.448517
28,1097,550,44.315511,37.872247,0.040397,0.068859
29,937,470,37.640194,30.802332,0.040171,0.065537
30,1053,527,42.116324,34.514994,0.039997,0.065493
31,659,330,26.284589,52.390597,0.039886,0.158759
32,929,465,30.271222,24.984536,0.032585,0.053730
33,1409,707,46.997990,38.672494,0.033356,0.054699
34,827,414,26.645241,21.643988,0.032219,0.052280
35,540,270,17.707042,14.744057,0.032791,0.054608
36,824,414,26.402467,21.821597,0.032042,0.052709
37,1031,516,33.708676,28.954756,0.032695,0.056114
38,974,488,33.517935,27.755165,0.034413,0.056875
