Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,20030,20029,2653.247384,31318.097193,0.132464,1.563638
2,534,267,37.954182,28.238601,0.071075,0.105763
3,482,241,27.207277,22.422021,0.056447,0.093037
4,611,306,34.363683,24.687354,0.056242,0.080678
5,430,215,19.202606,14.732306,0.044657,0.068522
6,466,233,187.547215,16.575868,0.402462,0.071141
7,552,276,23.638340,21.960927,0.042823,0.079569
8,666,333,23.546235,22.583617,0.035355,0.067819
9,535,268,16.431935,15.388216,0.030714,0.057419
10,592,296,18.357018,17.547543,0.031008,0.059282
11,456,230,14.564189,12.801071,0.031939,0.055657
12,430,215,12.575751,11.842994,0.029246,0.055084
13,674,337,18.903985,18.239138,0.028047,0.054122
14,599,300,16.404665,15.851671,0.027387,0.052839
15,541,271,14.594221,13.973604,0.026976,0.051563
16,605,303,18.428671,15.972611,0.030461,0.052715
17,514,257,14.858429,13.552928,0.028907,0.052735
18,519,260,14.474890,13.849925,0.027890,0.053269
19,638,319,17.616103,20.396816,0.027611,0.063940
20,604,302,16.948764,15.191085,0.028061,0.050302
21,666,333,18.093018,16.298125,0.027167,0.048943
22,654,328,18.819667,16.176998,0.028776,0.049320
23,599,300,16.628690,15.275888,0.027761,0.050920
24,652,326,17.571685,15.962656,0.026950,0.048965
25,644,322,17.714712,15.834595,0.027507,0.049176
26,580,290,16.097203,14.466699,0.027754,0.049885
27,596,298,16.930342,14.788412,0.028407,0.049626
28,742,372,20.394989,18.212787,0.027487,0.048959
29,620,310,17.747658,15.609818,0.028625,0.050354
30,704,352,22.013207,17.615322,0.031269,0.050044
31,645,323,17.937514,15.630514,0.027810,0.048392
32,480,240,15.115835,12.094447,0.031491,0.050394
33,790,395,21.938989,19.283642,0.027771,0.048819
34,869,435,25.410772,21.777605,0.029241,0.050063
35,575,288,15.807082,14.495718,0.027491,0.050332
36,732,366,19.697080,16.256335,0.026909,0.044416
37,604,302,16.140066,13.346426,0.026722,0.044193
38,660,330,17.468960,13.857017,0.026468,0.041991
39,430,215,11.432249,9.123897,0.026587,0.042437
40,616,309,16.487718,13.417235,0.026766,0.043421
41,588,294,15.560964,12.411427,0.026464,0.042216
42,478,239,13.027478,10.325665,0.027254,0.043204
43,696,348,19.247442,15.412025,0.027654,0.044287
44,632,316,17.127996,13.753033,0.027101,0.043522
45,460,230,12.348465,9.745812,0.026844,0.042373
46,715,358,19.572280,15.662791,0.027374,0.043751
47,602,301,16.311829,13.169618,0.027096,0.043753
48,778,390,21.303944,17.215903,0.027383,0.044143
49,517,259,13.946115,10.998702,0.026975,0.042466
50,568,284,15.391816,12.294094,0.027098,0.043289
51,538,269,14.780536,11.959803,0.027473,0.044460
52,781,391,20.722248,17.170389,0.026533,0.043914
53,769,386,20.681911,17.340163,0.026895,0.044923
54,685,343,18.161696,15.104242,0.026513,0.044036
55,736,368,19.883664,16.642878,0.027016,0.045225
56,703,352,18.691895,59.880547,0.026589,0.170115
57,556,278,16.329517,11.900365,0.029370,0.042807
58,403,202,11.940969,9.110063,0.029630,0.045099
59,490,245,14.465797,11.380270,0.029522,0.046450
60,690,345,21.307201,15.501175,0.030880,0.044931
61,487,244,14.561418,10.866034,0.029900,0.044533
62,550,276,16.101432,12.170528,0.029275,0.044096
63,562,281,16.613845,12.100883,0.029562,0.043064
64,656,328,19.760282,14.590413,0.030122,0.044483
65,608,304,17.859752,13.308236,0.029375,0.043777
66,674,337,20.068866,14.637760,0.029776,0.043435
67,546,273,16.607584,12.329667,0.030417,0.045164
68,507,254,15.068239,11.087311,0.029720,0.043651
69,1041,522,30.412339,23.137627,0.029215,0.044325
70,658,329,19.494430,14.598954,0.029627,0.044374
71,513,257,15.514747,11.607876,0.030243,0.045167
72,576,288,17.463799,12.867409,0.030319,0.044679
73,640,320,19.269316,14.444905,0.030108,0.045140
74,444,222,12.874775,9.291679,0.028997,0.041854
75,680,341,20.364995,15.809746,0.029949,0.046363
76,621,312,18.305145,14.496380,0.029477,0.046463
77,740,370,22.917765,16.720065,0.030970,0.045189
78,401,201,13.102500,9.122371,0.032675,0.045385
79,747,374,23.070941,16.904614,0.030885,0.045200
80,603,302,19.581478,13.920483,0.032473,0.046094
81,618,309,18.356266,13.831393,0.029703,0.044762
82,657,329,19.777556,15.127579,0.030103,0.045980
83,674,338,20.112774,15.447763,0.029841,0.045703
84,774,387,22.919872,17.348809,0.029612,0.044829
85,859,430,25.983844,20.329810,0.030249,0.047279
86,443,222,13.435346,9.629384,0.030328,0.043376
87,530,265,16.503032,12.222094,0.031138,0.046121
88,728,364,21.975751,16.174412,0.030186,0.044435
89,678,339,19.713502,15.527338,0.029076,0.045803
90,665,333,19.769512,15.168376,0.029729,0.045551
91,592,296,18.126043,13.134625,0.030618,0.044374
92,748,375,21.285226,17.238147,0.028456,0.045968
93,602,301,17.695486,13.237032,0.029394,0.043977
94,557,279,16.260667,12.442442,0.029193,0.044597
95,545,273,16.122727,12.365105,0.029583,0.045293
96,699,350,20.440598,15.993067,0.029243,0.045694
97,576,288,17.236987,13.310488,0.029925,0.046217
98,711,356,21.170731,16.116416,0.029776,0.045271
99,570,285,17.018300,12.819688,0.029857,0.044981
100,620,310,17.945195,14.181969,0.028944,0.045748
101,472,236,13.179428,10.343634,0.027923,0.043829
102,921,461,26.032366,20.355311,0.028265,0.044155
103,714,357,20.042571,16.206117,0.028071,0.045395
104,667,334,18.973926,15.143895,0.028447,0.045341
105,836,418,24.023678,19.601649,0.028736,0.046894
106,373,187,10.980784,8.512210,0.029439,0.045520
107,1007,504,29.959995,23.120502,0.029752,0.045874
108,566,283,17.066863,12.852060,0.030153,0.045414
109,1041,521,32.847611,24.842726,0.031554,0.047683
110,910,455,26.194295,20.414649,0.028785,0.044867
111,856,428,24.689099,19.161838,0.028842,0.044771
112,741,371,21.158820,16.299410,0.028554,0.043934
113,646,323,18.563482,14.766878,0.028736,0.045718
114,830,415,24.386812,19.472723,0.029382,0.046922
115,914,457,26.542676,20.781753,0.029040,0.045474
116,508,254,14.559706,11.373727,0.028661,0.044778
117,783,392,22.619477,17.613630,0.028888,0.044933
118,1004,503,30.408073,22.908839,0.030287,0.045544
119,787,394,22.110603,17.556833,0.028095,0.044560
120,874,438,24.686139,20.533025,0.028245,0.046879
121,598,299,17.150778,13.854869,0.028680,0.046337
122,734,367,20.470370,16.848504,0.027889,0.045909
123,927,464,26.998994,23.081399,0.029125,0.049744
124,376,188,10.975207,9.055959,0.029189,0.048170
125,708,354,19.862052,16.966408,0.028054,0.047928
126,781,391,22.080675,17.543454,0.028272,0.044868
127,716,358,20.442703,16.859048,0.028551,0.047092
128,398,199,11.097308,8.513009,0.027883,0.042779
129,909,455,26.315162,21.360715,0.028950,0.046947
130,916,459,26.155019,20.972928,0.028554,0.045693
131,808,405,22.682285,18.720152,0.028072,0.046223
132,816,409,22.629160,18.607230,0.027732,0.045494
133,796,398,22.304625,18.271061,0.028021,0.045907
134,826,413,22.826922,19.323422,0.027635,0.046788
135,774,387,21.687213,18.229950,0.028020,0.047106
136,910,456,25.401184,21.001422,0.027913,0.046056
137,650,326,18.177183,14.683312,0.027965,0.045041
138,707,354,19.250894,16.593968,0.027229,0.046876
139,840,420,23.535643,19.206755,0.028019,0.045730
140,1107,554,30.875379,25.988572,0.027891,0.046911
141,1064,533,30.104793,25.021635,0.028294,0.046945
142,1135,568,32.195844,26.189549,0.028366,0.046108
143,928,464,25.774159,21.242911,0.027774,0.045782
144,701,351,20.016422,15.930732,0.028554,0.045387
145,740,372,21.864231,17.459340,0.029546,0.046934
146,554,277,17.259818,13.360509,0.031155,0.048233
147,935,468,26.919645,21.967462,0.028791,0.046939
148,899,450,26.124007,21.655221,0.029059,0.048123
149,749,375,22.237269,18.063894,0.029689,0.048170
150,320,160,9.252805,7.367863,0.028915,0.046049
151,729,365,21.237676,17.187935,0.029133,0.047090
152,652,326,19.132494,14.933962,0.029344,0.045810
153,743,372,22.439226,17.786195,0.030201,0.047812
154,594,297,17.631624,13.700500,0.029683,0.046130
155,837,419,25.117689,19.943261,0.030009,0.047597
156,905,453,26.273352,21.294103,0.029031,0.047007
157,1005,503,29.310001,23.764132,0.029164,0.047245
158,824,412,23.615996,19.246939,0.028660,0.046716
159,746,373,21.611639,17.546227,0.028970,0.047041
160,666,333,19.156222,15.785941,0.028763,0.047405
161,760,380,19.807746,17.253215,0.026063,0.045403
162,818,409,21.094587,18.731417,0.025788,0.045798
163,1040,520,26.629959,24.245141,0.025606,0.046625
164,660,330,16.918524,15.420091,0.025634,0.046728
165,415,208,10.710889,9.555266,0.025809,0.045939
166,703,352,18.139376,16.271999,0.025803,0.046227
167,712,356,18.308311,16.429333,0.025714,0.046150
168,922,461,23.671409,21.069399,0.025674,0.045704
169,843,422,21.417394,19.081440,0.025406,0.045217
170,626,313,15.856711,14.318229,0.025330,0.045745
171,967,484,24.840114,22.446795,0.025688,0.046378
172,889,446,22.592395,20.856810,0.025413,0.046764
173,584,292,15.004934,13.709841,0.025693,0.046952
174,815,408,20.627135,19.167251,0.025309,0.046979
175,654,327,16.546168,15.172879,0.025300,0.046400
176,608,304,15.280053,13.789900,0.025132,0.045362
177,939,470,24.310414,22.068965,0.025890,0.046955
178,763,383,19.336315,17.406434,0.025342,0.045448
179,683,342,17.084579,15.762008,0.025014,0.046088
180,794,397,19.909109,18.294438,0.025074,0.046082
181,746,373,18.897782,17.107371,0.025332,0.045864
182,1065,533,26.826571,24.714684,0.025189,0.046369
183,830,416,20.983192,19.428683,0.025281,0.046704
184,810,406,20.364844,18.744784,0.025142,0.046169
185,798,400,20.256927,18.337391,0.025385,0.045843
186,917,459,23.811841,22.018048,0.025967,0.047970
187,731,366,18.580061,16.657357,0.025417,0.045512
188,760,380,19.304104,17.703289,0.025400,0.046588
189,554,277,14.024340,12.670690,0.025315,0.045743
190,901,451,22.843906,21.129299,0.025354,0.046850
191,875,438,22.204216,20.242781,0.025376,0.046216
192,780,390,19.890755,18.214632,0.025501,0.046704
193,830,416,21.201276,19.326128,0.025544,0.046457
194,530,265,13.470595,12.251688,0.025416,0.046233
195,542,271,13.713290,12.304543,0.025301,0.045404
196,688,344,17.586284,16.030487,0.025561,0.046600
197,832,416,21.838785,19.833797,0.026249,0.047677
198,678,339,17.299419,15.742121,0.025515,0.046437
199,934,467,23.637291,21.848466,0.025308,0.046785
200,871,436,22.094907,19.772667,0.025367,0.045350
201,588,294,14.939061,13.697433,0.025407,0.046590
202,736,368,18.660076,17.005676,0.025353,0.046211
203,926,464,23.396255,22.079099,0.025266,0.047584
204,1004,502,25.332618,23.532018,0.025232,0.046877
205,1016,508,25.844308,23.503368,0.025437,0.046266
206,1220,612,31.360578,28.790748,0.025705,0.047044
207,892,447,22.614084,20.641828,0.025352,0.046179
208,1061,531,26.815480,25.275948,0.025274,0.047601
209,1086,543,27.477820,25.967930,0.025302,0.047823
210,1275,638,32.459609,30.222925,0.025459,0.047371
211,1132,566,28.623561,26.704809,0.025286,0.047182
212,816,408,20.868557,18.894797,0.025574,0.046311
213,991,496,25.534034,22.920724,0.025766,0.046211
214,738,369,18.656939,16.868216,0.025280,0.045713
215,970,485,24.609548,22.304588,0.025371,0.045989
216,1394,698,35.571817,34.135312,0.025518,0.048904
217,1247,624,31.783551,29.116949,0.025488,0.046662
218,1052,526,26.775234,24.871275,0.025452,0.047284
219,551,276,14.047886,12.343091,0.025495,0.044721
220,1155,578,29.418705,28.020915,0.025471,0.048479
221,958,480,24.446921,22.538188,0.025519,0.046955
222,855,428,21.872344,19.939609,0.025582,0.046588
223,822,411,21.073919,19.429652,0.025637,0.047274
224,1638,822,41.912607,38.914293,0.025588,0.047341
225,1559,780,40.200687,37.012015,0.025786,0.047451
226,899,450,23.710608,20.893751,0.026374,0.046431
227,892,447,23.003968,20.765422,0.025789,0.046455
228,1398,701,35.817810,33.664034,0.025621,0.048023
229,658,329,16.820027,15.098165,0.025562,0.045891
230,893,448,22.868920,20.861892,0.025609,0.046567
231,1211,606,31.020632,28.948346,0.025616,0.047770
232,662,331,17.266461,15.873361,0.026082,0.047956
233,1165,583,29.605174,27.355757,0.025412,0.046922
234,936,468,23.925893,22.675180,0.025562,0.048451
235,972,486,24.902610,23.440236,0.025620,0.048231
236,1009,505,25.717946,23.854294,0.025489,0.047236
237,1084,542,27.496998,25.982811,0.025366,0.047939
238,932,466,23.865436,21.784363,0.025607,0.046748
239,886,443,22.944731,20.685302,0.025897,0.046694
240,868,434,22.343798,20.519602,0.025742,0.047280
241,1015,509,26.020851,24.518551,0.025636,0.048170
242,1073,537,27.529532,26.665106,0.025657,0.049656
243,1138,570,29.069042,27.065763,0.025544,0.047484
244,894,448,22.853745,21.205120,0.025563,0.047333
245,1330,666,33.943594,31.986820,0.025521,0.048028
246,809,405,20.781390,18.768412,0.025688,0.046342
247,686,343,17.498641,16.508152,0.025508,0.048129
248,897,449,22.873446,20.838679,0.025500,0.046411
249,826,413,21.135879,20.193101,0.025588,0.048894
250,1061,531,27.666306,26.205481,0.026076,0.049351
251,1034,518,27.059590,25.536293,0.026170,0.049298
252,643,322,16.745152,15.932765,0.026042,0.049481
253,718,360,18.452185,17.107105,0.025699,0.047520
254,1200,601,31.493117,29.570309,0.026244,0.049202
255,882,441,22.742621,21.038591,0.025785,0.047707
256,1501,752,42.307460,36.858587,0.028186,0.049014
257,619,310,15.921893,15.377521,0.025722,0.049605
258,1091,546,27.951598,26.453307,0.025620,0.048449
259,1092,547,27.806469,26.543527,0.025464,0.048526
260,920,461,23.560864,21.982621,0.025610,0.047685
261,1352,677,34.885694,33.489175,0.025803,0.049467
262,1083,542,28.072231,26.344488,0.025921,0.048606
263,1303,652,35.823034,31.828813,0.027493,0.048817
264,820,410,21.163219,19.500957,0.025809,0.047563
265,924,462,23.812495,22.096562,0.025771,0.047828
266,788,395,20.308622,18.751880,0.025772,0.047473
267,1097,549,28.057284,26.705377,0.025576,0.048644
268,879,440,22.725259,21.077748,0.025854,0.047904
269,694,347,17.941199,17.103443,0.025852,0.049289
270,738,369,19.031657,17.790632,0.025788,0.048213
271,689,345,17.731095,16.288218,0.025735,0.047212
272,610,305,15.603925,14.080990,0.025580,0.046167
273,910,456,23.473915,21.879625,0.025796,0.047982
274,1079,540,27.509491,25.590142,0.025495,0.047389
275,915,458,23.623759,22.080909,0.025818,0.048212
276,1235,619,31.694019,30.269052,0.025663,0.048900
277,1065,534,27.341914,25.407921,0.025673,0.047580
278,1086,544,28.111499,26.716617,0.025885,0.049111
279,886,444,23.061396,21.858903,0.026029,0.049232
280,956,479,24.515420,23.256931,0.025644,0.048553
281,1223,612,31.259237,28.875223,0.025559,0.047182
282,778,390,20.177013,17.994261,0.025934,0.046139
283,896,448,22.885017,21.739013,0.025541,0.048525
284,1152,577,99.007660,28.009819,0.085944,0.048544
285,1260,632,32.444626,31.009171,0.025750,0.049065
286,802,401,22.186621,19.356326,0.027664,0.048270
287,592,296,15.280650,13.956152,0.025812,0.047149
288,1106,554,28.545567,26.767981,0.025810,0.048318
289,1230,616,31.660290,29.674251,0.025740,0.048172
290,833,417,21.551367,19.969130,0.025872,0.047888
291,847,424,21.931429,20.320744,0.025893,0.047926
292,430,215,11.158198,10.196843,0.025949,0.047427
293,954,477,24.879215,22.700734,0.026079,0.047591
294,810,405,20.979124,19.807268,0.025900,0.048907
295,812,407,22.280617,19.931664,0.027439,0.048972
296,972,486,25.150025,22.856148,0.025875,0.047029
297,768,384,19.727538,18.454826,0.025687,0.048059
298,1017,509,26.110285,24.299879,0.025674,0.047740
299,911,456,23.592459,21.777758,0.025897,0.047758
300,754,377,19.540088,17.665291,0.025915,0.046858
301,902,451,23.288259,21.669799,0.025818,0.048048
302,1223,613,31.605404,29.637687,0.025843,0.048349
303,1757,879,45.666729,42.687819,0.025991,0.048564
304,1042,521,27.059831,25.333788,0.025969,0.048625
305,1340,670,34.329076,32.071385,0.025619,0.047868
306,1289,645,33.258219,31.420015,0.025802,0.048713
307,1044,523,26.990811,25.870673,0.025853,0.049466
308,1495,748,39.919405,36.602674,0.026702,0.048934
309,738,369,19.093434,17.421368,0.025872,0.047212
310,1043,522,26.967536,25.287403,0.025856,0.048443
311,1140,570,29.315875,27.621377,0.025716,0.048459
312,1153,578,29.871130,28.144904,0.025907,0.048694
313,1250,626,32.374898,30.494230,0.025900,0.048713
314,794,398,20.605417,19.282323,0.025951,0.048448
315,1322,662,34.427286,32.294100,0.026042,0.048783
316,1003,502,26.238385,24.303623,0.026160,0.048414
317,1274,637,33.398752,31.639598,0.026216,0.049670
318,622,312,16.083954,14.818955,0.025858,0.047497
319,1234,619,33.574809,30.262591,0.027208,0.048889
