Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,16424,8374,1172.928473,694.034426,0.071416,0.082880
2,7547,3814,342.522068,232.723057,0.045385,0.061018
3,2,1,0.701775,0.216839,0.350888,0.216839
4,7476,3779,230.509798,197.165126,0.030833,0.052174
5,6511,3282,457.707232,166.003793,0.070298,0.050580
6,16180,8256,434.999610,675.239699,0.026885,0.081788
7,24942,12878,1136.803180,565.946308,0.045578,0.043947
8,20088,10313,507.194176,459.582652,0.025249,0.044563
9,15984,8166,411.558259,369.463797,0.025748,0.045244
10,9175,4642,227.581909,206.745250,0.024805,0.044538
11,1456,730,34.724617,30.976948,0.023849,0.042434
12,18140,9300,458.066020,546.975642,0.025252,0.058815
13,38606,20290,1247.926426,1305.167548,0.032325,0.064326
14,7695,3889,188.479801,176.728973,0.024494,0.045443
15,21071,10831,525.638180,531.259291,0.024946,0.049050
16,10002,5072,245.123437,228.409927,0.024507,0.045034
17,10053,5082,251.671312,229.018793,0.025034,0.045065
18,14007,7133,347.228559,324.259101,0.024790,0.045459
19,8970,4541,218.539354,205.835309,0.024363,0.045328
20,2,1,0.162593,0.067216,0.081297,0.067216
21,2,1,0.123580,0.059216,0.061790,0.059216
22,6960,3509,168.566101,157.239223,0.024219,0.044810
23,21363,10989,657.347334,495.878767,0.030770,0.045125
24,13482,6859,547.776861,305.622867,0.040630,0.044558
25,2,1,0.170297,0.085833,0.085149,0.085833
26,10803,5476,265.084545,251.745073,0.024538,0.045972
27,3745,1876,89.326465,84.585754,0.023852,0.045088
28,13854,7056,344.253380,332.882118,0.024849,0.047177
29,20102,10317,499.119156,486.616430,0.024829,0.047166
30,13565,6899,529.604638,318.773886,0.039042,0.046206
31,9985,5050,244.742553,242.433710,0.024511,0.048007
32,2239,1122,53.326109,51.837443,0.023817,0.046201
33,2,1,0.167719,0.117953,0.083860,0.117953
34,9828,4973,239.182827,236.847031,0.024337,0.047627
35,13886,7073,345.497243,333.444707,0.024881,0.047143
36,7846,3957,191.291095,186.542947,0.024381,0.047143
37,13421,6841,337.714626,324.804173,0.025163,0.047479
38,13383,6803,329.986669,324.599326,0.024657,0.047714
39,2,1,0.201350,0.081224,0.100675,0.081224
40,10441,5288,270.345557,266.763017,0.025893,0.050447
41,15511,7918,386.747677,385.131982,0.024934,0.048640
42,7507,3791,1279.571141,186.876977,0.170450,0.049295
43,12724,6457,335.014367,320.523409,0.026329,0.049640
44,2,1,0.188568,0.079846,0.094284,0.079846
45,2779,1394,71.011919,68.135528,0.025553,0.048878
46,17242,8824,455.127170,449.631773,0.026396,0.050956
47,10807,5482,470.653680,264.098696,0.043551,0.048176
48,6876,3469,179.059801,172.493169,0.026041,0.049724
49,13159,6698,352.316551,471.090341,0.026774,0.070333
50,21346,10954,566.680789,568.987451,0.026547,0.051943
