Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,560,559,397.042243,351.286173,0.709004,0.628419
2,446,445,128.151881,145.957602,0.287336,0.327995
3,638,637,124.437670,148.139755,0.195043,0.232558
4,620,619,95.874311,122.777638,0.154636,0.198348
5,589,588,73.416173,101.646888,0.124645,0.172869
6,538,537,51.992978,72.661507,0.096641,0.135310
7,539,538,44.160449,58.276272,0.081930,0.108320
8,409,408,26.996771,36.139734,0.066007,0.088578
9,358,357,23.971641,28.440763,0.066960,0.079666
10,499,498,32.673257,74.700477,0.065477,0.150001
11,657,656,56.256257,50.154364,0.085626,0.076455
12,414,413,26.121819,31.955289,0.063096,0.077374
13,648,647,28.667799,47.320929,0.044240,0.073139
14,644,643,27.633717,46.327441,0.042909,0.072049
15,517,516,26.472163,44.522007,0.051203,0.086283
16,632,631,209.205864,51.800008,0.331022,0.082092
17,399,398,18.947371,30.525776,0.047487,0.076698
18,519,518,23.853923,41.317488,0.045961,0.079763
19,567,566,22.420382,38.038382,0.039542,0.067206
20,625,624,20.723652,40.503854,0.033158,0.064910
21,577,576,18.960017,31.909524,0.032860,0.055398
22,568,567,18.636217,30.346311,0.032810,0.053521
23,547,546,18.005335,29.700220,0.032917,0.054396
24,446,445,14.686209,23.001480,0.032929,0.051689
25,571,570,17.841341,30.408689,0.031246,0.053349
26,545,544,17.022826,29.951859,0.031235,0.055059
27,690,689,53.404525,35.855658,0.077398,0.052040
28,534,533,16.345751,29.921626,0.030610,0.056138
29,527,526,16.264808,28.314516,0.030863,0.053830
30,510,509,15.962660,28.027517,0.031299,0.055064
31,366,365,11.217034,19.786949,0.030648,0.054211
32,637,636,19.589316,35.154994,0.030752,0.055275
33,625,624,19.217929,33.867577,0.030749,0.054275
34,465,464,14.293344,24.415358,0.030738,0.052619
35,694,693,21.387732,36.761074,0.030818,0.053046
36,364,363,13.614008,22.545828,0.037401,0.062110
37,439,438,17.033406,29.003698,0.038800,0.066218
38,391,390,15.019245,25.142079,0.038412,0.064467
39,552,551,20.928175,37.495260,0.037913,0.068049
40,586,585,22.816578,37.806360,0.038936,0.064626
41,507,506,19.425953,31.458551,0.038315,0.062171
42,437,436,16.920893,29.255820,0.038721,0.067101
43,241,240,9.579854,15.454719,0.039750,0.064395
44,525,524,20.516234,33.648355,0.039079,0.064214
45,399,398,15.210078,24.412803,0.038120,0.061339
46,400,399,12.461642,21.420185,0.031154,0.053685
47,720,719,22.525454,41.638873,0.031285,0.057912
48,536,535,16.593653,28.411387,0.030958,0.053105
49,370,369,11.526863,19.040848,0.031154,0.051601
50,601,600,18.692837,30.841157,0.031103,0.051402
51,328,327,10.393118,17.261374,0.031686,0.052787
52,517,516,16.160577,26.975135,0.031258,0.052277
53,567,566,18.370934,29.660324,0.032400,0.052403
54,405,404,12.926982,19.931937,0.031918,0.049336
55,464,463,14.478116,23.577799,0.031203,0.050924
56,403,402,12.482460,19.791476,0.030974,0.049233
57,467,466,14.778966,23.591148,0.031647,0.050625
58,614,613,18.965890,31.109863,0.030889,0.050750
59,464,463,14.675508,23.989511,0.031628,0.051813
60,679,678,21.290556,34.779328,0.031356,0.051297
61,567,566,17.898737,33.595741,0.031567,0.059356
62,530,529,16.486228,26.476229,0.031106,0.050050
63,472,471,15.050174,23.308681,0.031886,0.049488
64,425,424,64.378004,21.446598,0.151478,0.050582
65,594,593,18.543709,30.892254,0.031218,0.052095
66,538,537,16.727287,27.113173,0.031092,0.050490
67,515,514,16.166924,25.748098,0.031392,0.050094
68,492,491,15.632882,24.008823,0.031774,0.048898
69,431,430,13.399260,20.999691,0.031089,0.048836
70,612,611,19.154518,30.863954,0.031298,0.050514
71,597,596,18.547667,29.921936,0.031068,0.050205
72,223,222,6.803733,10.790268,0.030510,0.048605
73,420,419,12.960699,21.490745,0.030859,0.051291
74,548,547,17.079126,28.950843,0.031166,0.052927
75,443,442,13.784081,23.169148,0.031115,0.052419
76,406,405,12.631617,19.227167,0.031112,0.047474
77,230,229,7.213295,11.073130,0.031362,0.048354
78,432,431,13.486730,21.670932,0.031219,0.050281
79,448,447,14.093705,22.659506,0.031459,0.050692
80,610,609,19.147287,30.698791,0.031389,0.050409
81,455,454,14.198508,22.252548,0.031206,0.049014
82,435,434,13.608027,22.214807,0.031283,0.051186
83,501,500,15.646631,25.067089,0.031231,0.050134
84,488,487,15.100617,23.453327,0.030944,0.048159
85,419,418,16.007660,26.324457,0.038204,0.062977
86,467,466,18.078973,29.639698,0.038713,0.063605
87,551,550,20.594616,33.720082,0.037377,0.061309
88,555,554,21.175527,33.114686,0.038154,0.059774
89,502,501,19.332013,29.878336,0.038510,0.059637
90,460,459,17.892539,27.875393,0.038897,0.060731
91,548,547,21.138822,32.801994,0.038574,0.059967
92,388,387,14.700236,22.503557,0.037887,0.058149
93,486,485,18.917361,29.902034,0.038925,0.061654
94,382,381,14.502935,23.533531,0.037966,0.061768
95,543,542,20.844337,32.702951,0.038387,0.060338
96,441,440,16.852950,25.949299,0.038215,0.058976
97,653,652,25.128699,39.678323,0.038482,0.060856
98,409,408,15.768026,24.366437,0.038553,0.059722
99,467,466,17.872627,28.137173,0.038271,0.060380
100,563,562,21.350168,33.265740,0.037922,0.059192
101,570,569,22.106518,34.321118,0.038783,0.060318
102,597,596,18.425423,29.125770,0.030863,0.048869
103,487,486,15.022083,24.126379,0.030846,0.049643
104,422,421,14.377211,22.068625,0.034069,0.052420
105,453,452,15.581800,23.341496,0.034397,0.051640
106,475,474,15.408308,23.661373,0.032439,0.049919
107,493,492,16.080265,23.994630,0.032617,0.048770
108,479,478,15.035986,22.774592,0.031390,0.047646
109,502,501,15.689968,24.469410,0.031255,0.048841
110,593,592,18.653158,29.795603,0.031456,0.050330
111,584,583,18.464849,28.360808,0.031618,0.048646
112,207,206,6.558953,10.027059,0.031686,0.048675
113,456,455,14.262804,22.688837,0.031278,0.049866
114,573,572,17.522012,28.204906,0.030579,0.049309
115,365,364,11.070888,16.983626,0.030331,0.046658
116,604,603,18.608577,29.827680,0.030809,0.049465
117,629,628,19.217576,30.675395,0.030553,0.048846
118,432,431,13.283451,20.878633,0.030749,0.048442
119,377,376,11.728416,17.872470,0.031110,0.047533
120,564,563,17.536171,28.217708,0.031093,0.050120
121,200,199,6.152058,9.852295,0.030760,0.049509
122,474,473,14.825575,23.760765,0.031278,0.050234
123,475,474,14.848416,23.295401,0.031260,0.049146
124,612,611,18.933638,31.328640,0.030937,0.051274
125,590,589,18.314891,31.323036,0.031042,0.053180
126,482,481,14.852649,23.911513,0.030815,0.049712
127,403,402,12.456499,19.227741,0.030909,0.047830
128,636,635,19.665032,31.373928,0.030920,0.049408
129,396,395,12.264301,19.104407,0.030970,0.048366
130,537,536,16.712560,26.709512,0.031122,0.049831
131,439,438,13.563231,20.550843,0.030896,0.046920
132,557,556,17.287762,26.565502,0.031037,0.047780
133,638,637,19.691985,32.501682,0.030865,0.051023
134,696,695,21.484835,33.593624,0.030869,0.048336
135,525,524,16.364398,24.736617,0.031170,0.047207
136,594,593,18.506951,29.419119,0.031156,0.049611
137,553,552,17.207586,28.204978,0.031117,0.051096
138,501,500,15.742922,105.100175,0.031423,0.210200
139,719,718,22.468583,37.130459,0.031250,0.051714
140,321,320,10.039888,15.893550,0.031277,0.049667
141,415,414,12.890393,20.004351,0.031061,0.048320
142,401,400,12.434754,19.824179,0.031009,0.049560
143,273,272,8.649266,17.842061,0.031682,0.065596
144,547,546,17.619014,27.272808,0.032210,0.049950
145,367,366,11.311539,18.241193,0.030822,0.049839
146,508,507,15.656714,24.156510,0.030820,0.047646
147,457,456,14.326400,22.745222,0.031349,0.049880
148,770,769,23.973321,37.807819,0.031134,0.049165
