Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,16424,8374,1453.346046,815.280270,0.088489,0.097359
2,7547,3814,410.837801,267.873043,0.054437,0.070234
3,2,1,0.637823,0.164579,0.318912,0.164579
4,7476,3779,262.662535,330.280713,0.035134,0.087399
5,6511,3282,205.024160,172.030745,0.031489,0.052416
6,16180,8256,519.675627,471.028834,0.032118,0.057053
7,24942,12878,1026.009555,621.676238,0.041136,0.048274
8,20088,10313,658.647739,569.953427,0.032788,0.055266
9,15984,8166,505.271263,397.198947,0.031611,0.048641
10,9175,4642,289.713243,225.154549,0.031576,0.048504
11,1456,730,45.383348,35.481167,0.031170,0.048604
12,18140,9300,582.605723,469.599645,0.032117,0.050495
13,38606,20290,1450.812260,978.409471,0.037580,0.048221
14,7695,3889,243.636723,189.437536,0.031662,0.048711
15,21071,10831,675.210484,685.369118,0.032045,0.063278
16,10002,5072,626.055710,263.822877,0.062593,0.052016
17,10053,5082,322.196024,260.503431,0.032050,0.051260
18,14007,7133,610.762403,363.598381,0.043604,0.050974
19,8970,4541,284.485024,225.536814,0.031715,0.049667
20,2,1,0.735972,0.077145,0.367986,0.077145
21,2,1,0.137346,0.058175,0.068673,0.058175
22,6960,3509,222.447309,181.779413,0.031961,0.051804
23,21363,10989,686.337472,560.592722,0.032127,0.051014
24,13482,6859,431.177417,343.737862,0.031982,0.050115
25,2,1,0.186688,0.089235,0.093344,0.089235
26,10803,5476,354.948759,285.648120,0.032856,0.052164
27,3745,1876,119.191506,94.067714,0.031827,0.050143
28,13854,7056,458.624332,375.708432,0.033104,0.053247
29,20102,10317,662.211271,534.553234,0.032943,0.051813
30,13565,6899,445.487324,361.892695,0.032841,0.052456
31,9985,5050,326.333339,264.237935,0.032682,0.052324
32,2239,1122,71.815389,56.470497,0.032075,0.050330
33,2,1,0.157595,0.062162,0.078798,0.062162
34,9828,4973,320.291304,254.196012,0.032590,0.051115
35,13886,7073,691.898309,353.010709,0.049827,0.049910
36,7846,3957,259.327855,207.691331,0.033052,0.052487
37,13421,6841,445.117705,357.605602,0.033166,0.052274
38,13383,6803,436.513675,575.835717,0.032617,0.084644
39,2,1,0.219930,0.130314,0.109965,0.130314
40,10441,5288,341.282953,272.922982,0.032687,0.051612
41,15511,7918,514.743726,412.654765,0.033186,0.052116
42,7507,3791,250.330223,198.821109,0.033346,0.052446
43,12724,6457,424.074955,359.926309,0.033329,0.055742
44,2,1,0.199173,0.124642,0.099587,0.124642
45,2779,1394,102.139635,72.845540,0.036754,0.052256
46,17242,8824,566.178648,467.595872,0.032837,0.052991
47,10807,5482,367.253003,295.756419,0.033983,0.053950
48,6876,3469,231.990345,185.980706,0.033739,0.053612
49,13159,6698,1730.945365,1344.120462,0.131541,0.200675
50,21346,10954,729.945736,592.399079,0.034196,0.054081
