Chunk,Nodes,Edges,Node Time (ms),Edge Time (ms),Average Node Time (ms),Average Edge Time (ms)
1,16424,8374,719.479964,475.674733,0.043807,0.056804
2,7547,3814,187.125120,204.965423,0.024795,0.053740
3,2,1,0.728725,0.149023,0.364363,0.149023
4,7476,3779,131.317400,141.295119,0.017565,0.037390
5,6511,3282,107.244921,102.206985,0.016471,0.031142
6,16180,8256,279.780161,248.220037,0.017292,0.030065
7,24942,12878,430.667013,380.069456,0.017267,0.029513
8,20088,10313,318.941343,309.310809,0.015877,0.029992
9,15984,8166,358.664152,243.848221,0.022439,0.029861
10,9175,4642,151.435812,198.199529,0.016505,0.042697
11,1456,730,27.851774,25.082633,0.019129,0.034360
12,18140,9300,295.494455,279.340864,0.016290,0.030037
13,38606,20290,629.388585,745.236719,0.016303,0.036729
14,7695,3889,118.206434,117.545817,0.015361,0.030225
15,21071,10831,529.103589,325.849716,0.025111,0.030085
16,10002,5072,177.185358,412.571191,0.017715,0.081343
17,10053,5082,165.910411,159.981529,0.016504,0.031480
18,14007,7133,332.547369,247.762931,0.023742,0.034735
19,8970,4541,145.579652,143.196482,0.016230,0.031534
20,2,1,0.177784,0.074363,0.088892,0.074363
21,2,1,0.103396,0.047040,0.051698,0.047040
22,6960,3509,122.685594,105.877705,0.017627,0.030173
23,21363,10989,356.793469,362.864473,0.016701,0.033021
24,13482,6859,224.694356,217.407159,0.016666,0.031697
25,2,1,0.161536,0.091650,0.080768,0.091650
26,10803,5476,174.656514,173.999968,0.016167,0.031775
27,3745,1876,60.591353,57.361238,0.016179,0.030576
28,13854,7056,289.201315,241.416677,0.020875,0.034214
29,20102,10317,351.230417,423.445751,0.017472,0.041043
30,13565,6899,225.754678,334.966422,0.016642,0.048553
31,9985,5050,166.771222,163.070269,0.016702,0.032291
32,2239,1122,105.264245,34.547001,0.047014,0.030791
33,2,1,0.140047,0.056671,0.070024,0.056671
34,9828,4973,163.236459,162.390044,0.016609,0.032654
35,13886,7073,250.094783,241.134219,0.018011,0.034092
36,7846,3957,133.279571,129.220313,0.016987,0.032656
37,13421,6841,228.777207,225.555142,0.017046,0.032971
38,13383,6803,234.676493,224.677178,0.017535,0.033026
39,2,1,0.144045,0.059105,0.072023,0.059105
40,10441,5288,176.889438,181.244970,0.016942,0.034275
41,15511,7918,263.832860,264.890591,0.017009,0.033454
42,7507,3791,123.271674,124.134673,0.016421,0.032745
43,12724,6457,215.491160,223.663560,0.016936,0.034639
44,2,1,0.131362,0.055844,0.065681,0.055844
45,2779,1394,46.063318,46.146060,0.016576,0.033103
46,17242,8824,298.670464,300.014633,0.017322,0.034000
47,10807,5482,184.330153,185.254362,0.017057,0.033793
48,6876,3469,129.525451,117.800265,0.018837,0.033958
49,13159,6698,225.990244,226.341657,0.017174,0.033792
50,21346,10954,369.497938,514.817174,0.017310,0.046998
